source_variable,source_label,target_field,target_code,target_term,mapped_in_entities,ontology_verification_status
lab_echo,Echocardiogram,"measurement_code, measurement_term | measurement_result_categorical",LOINC:18106-5,Cardiac echo study Procedure,measurement,confirmed | Code and term mismatch | confirmed | Code and term mismatch
lab_ldh,LDH,"measurement_code, measurement_term",LOINC:2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,measurement,confirmed | Match
lab_ldh_result,LDH result,measurement_result_numeric,,,measurement,
lab_ldh_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_ddimer,D-Dimer,"measurement_code, measurement_term",LOINC:48065-7,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,measurement,Confirmed | Match
lab_ddimer_result,D-Dimer result,measurement_result_numeric,,,measurement,
lab_fibrinogen,Fibrinogen,"measurement_code, measurement_term",LOINC:3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,measurement,confirmed | Match
lab_fibrinogen_result,Fibrinogen result,measurement_result_numeric,,,measurement,
lab_fibrinogen_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_ferritin,Ferritin,"measurement_code, measurement_term",LOINC:2276-4,Ferritin [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_ferritin_result,Ferritin result,measurement_result_numeric,,,measurement,
lab_triglycerides,Triglycerides,"measurement_code, measurement_term",LOINC:2571-8,Triglyceride [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_triglycerides_result,Triglycerides result,measurement_result_numeric,,,measurement,
lab_il6,IL-6,"measurement_code, measurement_term",LOINC:26881-3,Interleukin 6 [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_il6_result,IL-6 result,measurement_result_numeric,,,measurement,
lab_cd4,CD4,"measurement_code, measurement_term",LOINC:24467-3,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,measurement,confirmed | Match
lab_cd4_result,CD4 result,measurement_result_numeric,,,measurement,
lab_cd8,CD8,"measurement_code, measurement_term",LOINC:14135-8,CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood,measurement,added and confirmed | Match
lab_cd8_result,CD8 result,measurement_result_numeric,,,measurement,
lab_cd4_cd8,CD4/CD8 ratio,"measurement_code, measurement_term",LOINC:54218-3,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood,measurement,confirmed | Match
lab_cd4_cd8_result,CD4/CD8 ratio result,measurement_result_numeric,,,measurement,
lab_nt_probnp,NT_proBNP,"measurement_code, measurement_term",LOINC:33762-6,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_nt_probnp_result,NT_proBNP result,measurement_result_numeric,,,measurement,
lab_bnp,BNP,"measurement_code, measurement_term",LOINC:30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_bnp_result,BNP result,measurement_result_numeric,,,measurement,
lab_bnp_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_troponin,Troponin,"measurement_code, measurement_term",LOINC:110288-8,Troponin T.cardiac [Measurement] in Serum or Plasma,measurement,This is for troponin cardiac. I am not sure if that is what the hostseq variable captures. what about using snomedct 105000003 instead | Code and term mismatch
lab_troponin_result,Troponin result,measurement_result_numeric,,,measurement,
lab_troponin_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
laboratory_results_complete,Complete?,,,,,
treat_hospital,Treating hospital,treat_hospital,,,demographic,
icu_hd,ICU or High Dependency Unit admission,"treatment_code, treatment_term",,,treatment,
icu_admis,"If yes, date of ICU admission",age_at_treatment | treatment_duration,,,treatment,
icu_disch,"If yes, date of ICU discharge",treatment_duration,,,treatment,
prone_vent,Prone ventilation,"procedure_code, procedure_term | treatment_code, treatment_term",snomedct:870391004,Assisted ventilation in prone position,"procedure, treatment",confirmed | Match | Need to verify
